formula,Property Lattice parameter (a),Property Lattice parameter (a) units,Property Cell angle ($\gamma$),Property Cell angle ($\gamma$) units,Property Melting point,Property Melting point units,Property Crystal system,Property Lattice parameter (c),Property Lattice parameter (c) units,Property Cell angle ($\alpha$),Property Cell angle ($\alpha$) units,Property Lattice parameter (b),Property Lattice parameter (b) units,Property Cell angle ($\beta$),Property Cell angle ($\beta$) units,Property Space group number
La$_{2}$O$_{5}$Pd$_{2}$,6.703(2),$\AA$,90,°,,,tetragonal,5.630(2),$\AA$,90,°,6.703(2),$\AA$,90,°,84
La$_{2}$O$_{4}$Pd,4.055,$\AA$,90,°,,,tetragonal,12.62,$\AA$,90,°,4.055,$\AA$,90,°,139
La$_{4}$O$_{7}$Pd,13.469(1),$\AA$,90,°,,,monoclinic,9.448(1),$\AA$,90,°,4.0262(1),$\AA$,133.42(1),$^\circ$,12
BaCuF$_{7}$In,6.843(1),$\AA$,90,°,,,tetragonal,12.001(3),$\AA$,90,°,6.843(1),$\AA$,90,°,141
F$_{2}$GaHO$_{8}$P$_{2}$Sr$_{2}$,8.257(1),$\AA$,90,°,,,monoclinic,13.596(2),$\AA$,90,°,7.205(1),$\AA$,108.02(1),$^\circ$,14
F$_{2}$Fe$_{2}$HO$_{12}$P$_{3}$Sr$_{2}$,8.072(1),$\AA$,89.95(1),$^\circ$,,,triclinic,8.885(1),$\AA$,102.46(1),$^\circ$,8.794(1),$\AA$,115.95(1),$^\circ$,2
Al$_{2}$F$_{2}$O$_{8}$P$_{2}$Sr,12.026(1),$\AA$,90,°,,,orthorhombic,4.666(1),$\AA$,90,°,12.199(1),$\AA$,90,°,19
H$_{6}$Li$_{6}$O$_{21}$P$_{6}$,15.7442(2),$\AA$,120,°,,,trigonal,12.5486(2),$\AA$,90,°,15.7442(2),$\AA$,90,°,166
CoCsF$_{4}$,12.4476(6),$\AA$,90,°,,,tetragonal,12.9277(7),$\AA$,90,°,12.4476(6),$\AA$,90,°,120
CoCsF$_{4}$,12.4353(4),$\AA$,90,°,,,tetragonal,12.8612(5),$\AA$,90,°,12.4353(4),$\AA$,90,°,120
Al$_{3}$Cs$_{2}$F$_{12}$Na,7.310(3),$\AA$,57.45(1),$^\circ$,,,trigonal,7.310(3),$\AA$,57.45(1),$^\circ$,7.310(3),$\AA$,57.45(1),$^\circ$,166
FNb$_{2}$O$_{5}$Rb,10.492(5),$\AA$,90,°,,,cubic,10.492(5),$\AA$,90,°,10.492(5),$\AA$,90,°,227
FNb$_{2}$O$_{5}$Tl,10.506(5),$\AA$,90,°,,,cubic,10.506(5),$\AA$,90,°,10.506(5),$\AA$,90,°,227
CsFNb$_{2}$O$_{5}$,10.525(5),$\AA$,90,°,,,cubic,10.525(5),$\AA$,90,°,10.525(5),$\AA$,90,°,227
AlF$_{4}$Rb,5.125(2),$\AA$,90,°,,,tetragonal,6.283(2),$\AA$,90,°,5.125(2),$\AA$,90,°,127
Ba$_{2}$F$_{18}$Zn$_{7}$,7.032(2),$\AA$,116.39(2),$^\circ$,,,triclinic,7.505(2),$\AA$,94.24(2),$^\circ$,7.292(2),$\AA$,92.82(2),$^\circ$,2
BaF$_{7}$FeMn,5.5075(1),$\AA$,90,°,,,monoclinic,9.1427(2),$\AA$,90,°,10.9584(2),$\AA$,94.568(2),$^\circ$,14
CoCrF$_{6}$Rb,10.277(5),$\AA$,90,°,,,cubic,10.277(5),$\AA$,90,°,10.277(5),$\AA$,90,°,227
La$_{7}$Mo$_{7}$O$_{30}$,17.0051(2),$\AA$,120,°,,,trigonal,6.8607(1),$\AA$,90,°,17.0051(2),$\AA$,90,°,148
La$_{7}$Mo$_{7}$O$_{30}$,17.00639(20),$\AA$,120,°,,,trigonal,6.8613(1),$\AA$,90,°,17.00639(20),$\AA$,90,°,148
B$_{2}$Gd$_{2}$Na$_{2}$O$_{7}$,10.695(6),$\AA$,90,°,,,monoclinic,10.328(6),$\AA$,90,°,6.320(4),$\AA$,117.80(4),$^\circ$,14
La$_{2.25}$Li$_{2}$Nb$_{1.25}$O$_{13}$Ti$_{2.75}$,3.88,$\AA$,90,°,,,tetragonal,32.39999,$\AA$,90,°,3.88,$\AA$,90,°,139
F$_{2}$Gd$_{2}$MgNa$_{2}$O$_{12}$Si$_{4}$,5.178(3),$\AA$,90,°,,,monoclinic,14.381(4),$\AA$,90,°,7.510(2),$\AA$,90.22(2),$^\circ$,14
GaH$_{4}$O$_{6}$P,9.9260(1),$\AA$,90,°,,,orthorhombic,9.7622(1),$\AA$,90,°,8.6189(1),$\AA$,90,°,61
C$_{12}$H$_{48}$Al$_{7}$F$_{29}$N$_{8}$O$_{2}$,8.438(2),$\AA$,94.03(2),$^\circ$,,,triclinic,10.853(4),$\AA$,106.56(2),$^\circ$,10.125(2),$\AA$,96.48(4),$^\circ$,2
C$_{12}$H$_{47}$Al$_{7}$F$_{30}$N$_{8}$O,9.1111(6),$\AA$,103.035(4),$^\circ$,,,triclinic,11.3302(8),$\AA$,110.746(7),$^\circ$,10.2652(8),$\AA$,102.016(1),$^\circ$,2
C$_{16}$H$_{26}$O$_{5}$,13.7805(12),$\AA$,90,°,,,orthorhombic,8.4303(12),$\AA$,90,°,29.081(5),$\AA$,90,°,56
C$_{23}$H$_{34}$O$_{4}$Si,28.084(3),$\AA$,90,°,,,monoclinic,20.303(3),$\AA$,90,°,8.3502(7),$\AA$,98.37(2),$^\circ$,15
C$_{23}$H$_{34}$O$_{4}$Si,9.4586(17),$\AA$,70.117(11),$^\circ$,,,triclinic,12.4892(15),$\AA$,89.406(10),$^\circ$,11.1593(16),$\AA$,72.021(13),$^\circ$,2
CaH$_{4}$N$_{2}$O$_{8}$,11.827(9),$\AA$,90.(0),$^\circ$,,,orthorhombic,12.622(12),$\AA$,90.(0),$^\circ$,16.538(14),$\AA$,90.(0),$^\circ$,68
Ge$_{4}$O$_{9}$Rb$_{2}$,12.08(7),$\AA$,120,°,,,trigonal,9.86(5),$\AA$,90,°,12.08(7),$\AA$,90,°,165
Ge$_{3}$O$_{9}$Rb$_{2}$Ti,12.19(5),$\AA$,120,°,,,trigonal,10.14(8),$\AA$,90,°,12.19(5),$\AA$,90,°,165
CaH$_{2.47}$N$_{2}$O$_{7.235}$,13.226(2),$\AA$,120,°,,,hexagonal,32.37(2),$\AA$,90,°,13.226(2),$\AA$,90,°,176
B$_{2}$NbO$_{6}$Rb,19.640(2),$\AA$,90,°,,,monoclinic,7.389(3),$\AA$,90,°,9.449(3),$\AA$,90,°,7
H$_{3}$Nb$_{33}$O$_{90}$Tl$_{10.5}$,7.51(2),$\AA$,120,°,,,trigonal,43.29(4),$\AA$,90,°,7.51(2),$\AA$,90,°,166
